Country,Region,Locality,time,temperature,Latitude,Longitude,nearest_lat,nearest_lon
Russia,Khabarovskyi kr.,Troitskoe,2010-02-04,-30.263947,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-07,-31.527695,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-08,-32.944504,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-09,-33.860138,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-10,-31.45488,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-11,-31.833893,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-12,-33.279327,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-13,-31.705734,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2011-01-14,-31.989456,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2012-01-03,-30.260391,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2012-01-10,-32.706467,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2012-01-11,-31.029755,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2012-01-13,-30.345871,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-07,-30.87587,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-08,-30.964676,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-09,-32.150833,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-10,-31.019806,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-14,-30.50032,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-15,-31.574387,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2013-01-17,-30.407578,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2014-01-13,-30.07602,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2014-12-25,-30.567032,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2017-12-08,-30.296158,49.42,136.56,49.5,136.5
Russia,Lipetsk,"Липецкая обл., Елец",2006-01-18,-32.6382,52.624190000000006,38.503653,52.5,38.5
Russia,Lipetsk,"Липецкая обл., Елец",2006-02-07,-30.608353,52.624190000000006,38.503653,52.5,38.5
Russia,Lipetsk,"Липецкая обл., Елец",2006-02-08,-33.011917,52.624190000000006,38.503653,52.5,38.5
Russia,Lipetsk,"Липецкая обл., Елец",2006-02-09,-30.368378,52.624190000000006,38.503653,52.5,38.5
Russia,Lipetsk,"Липецкая область, Краснинский район, п. Лески 44 км СВ г. Елец, посадки вдольжелезной дороги, на ясене sp. 1 экз",2006-01-18,-31.999527,52.879137,38.996057,53.0,39.0
Russia,Lipetsk,"Липецкая область, Краснинский район, п. Лески 44 км СВ г. Елец, посадки вдольжелезной дороги, на ясене sp. 1 экз",2006-02-07,-31.646759,52.879137,38.996057,53.0,39.0
Russia,Lipetsk,"Липецкая область, Краснинский район, п. Лески 44 км СВ г. Елец, посадки вдольжелезной дороги, на ясене sp. 1 экз",2006-02-08,-32.18834,52.879137,38.996057,53.0,39.0
Russia,Lipetsk,"Липецкая область, Краснинский район, п. Лески 44 км СВ г. Елец, посадки вдольжелезной дороги, на ясене sp. 1 экз",2006-02-09,-31.267303,52.879137,38.996057,53.0,39.0
Russia,Moscow,Kolomna,2006-01-18,-31.535812,55.0831985473632,38.7904014587402,55.0,39.0
Russia,Moscow,Serpukhov,2006-01-18,-31.242203,54.92339200000001,37.41446,55.0,37.5
Russia,Moscow,Stupino Август 2017,2006-01-18,-31.33757,54.885286,38.100062,55.0,38.0
Russia,Moscow,"Москва, Zelenograd, 16th district, 55.97 N, 37.16 E, 11.3.2014, 30.10.2013 ",2006-01-18,-31.860367,55.973674,37.155509,56.0,37.0
Russia,Moscow,"Москва, Zelenograd, 16th district, 55.97 N, 37.16 E, 11.3.2014, 30.10.2013 ",2017-01-07,-30.174118,55.973674,37.155509,56.0,37.0
