Country,Region,Locality,Latitude,Longitude,Source of information
USA,New York,,41.294244,-73.996055,GBIF 2020
USA,New York,,41.294266,-73.996213,GBIF 2020
USA,New York,,41.294286,-73.996318,GBIF 2020
USA,Ohio,,41.303269,-81.528309,GBIF 2020
USA,New York,,41.312275,-73.57529,GBIF 2020
USA,Illinois,,41.322128,-88.998253,GBIF 2020
USA,Pennsylvania,,41.332247,-75.90008,GBIF 2020
USA,Ohio,,41.361408,-81.848274,GBIF 2020
USA,Ohio,,41.365641,-81.461134,GBIF 2020
USA,Ohio,,41.408534,-81.889299,GBIF 2020
USA,Ohio,,41.410124,-81.887839,GBIF 2020
USA,Connecticut,,41.411533,-73.123061,GBIF 2020
USA,Ohio,,41.413399,-81.75441,GBIF 2020
USA,Connecticut,,41.421524,-72.899504,GBIF 2020
USA,New York,,41.428373,-73.966671,GBIF 2020
USA,Ohio,,41.430565,-81.850548,GBIF 2020
USA,Ohio,,41.453609,-81.525833,GBIF 2020
USA,Ohio,"Swanton Twp., Lucas Co., OH",41.5647,-83.8481,GBIF 2020
USA,Illinois,,41.566624,-87.611547,GBIF 2020
USA,Illinois,,41.566629,-87.611567,GBIF 2020
USA,Ohio,,41.575554,-81.326385,GBIF 2020
USA,Illinois,,41.643706,-88.540884,GBIF 2020
USA,Illinois,,41.702488,-88.005639,GBIF 2020
USA,Connecticut,,41.738788,-73.205703,GBIF 2020
USA,Ohio,,41.755588,-80.800055,GBIF 2020
USA,Ohio,,41.761683,-81.286147,GBIF 2020
USA,Illinois,,41.783252,-87.578253,GBIF 2020
USA,Pennsylvania,,41.78363,-76.790475,GBIF 2020
USA,Illinois,,41.784228,-88.438786,GBIF 2020
USA,Illinois,,41.82697,-87.934722,GBIF 2020
USA,New York,,41.926437,-74.20163,GBIF 2020
USA,New York,,41.928988,-74.202438,GBIF 2020
USA,New York,,41.929984,-74.200411,GBIF 2020
USA,Pennsylvania,,41.961714,-75.956418,GBIF 2020
USA,Illinois,,41.977159,-87.738855,GBIF 2020
USA,Illinois,,41.978448,-87.739973,GBIF 2020
USA,Illinois,,41.979738,-87.7415,GBIF 2020
USA,Illinois,,41.980885,-87.742824,GBIF 2020
USA,Illinois,,41.982555,-87.746602,GBIF 2020
USA,Illinois,,41.983671,-87.755377,GBIF 2020
USA,Illinois,,41.999585,-87.776004,GBIF 2020
USA,Illinois,,42.0016,-87.778357,GBIF 2020
USA,Pennsylvania,,42.005877,-80.356175,GBIF 2020
USA,Illinois,,42.010189,-87.791017,GBIF 2020
USA,Connecticut,,42.027639,-73.142982,GBIF 2020
USA,New York,,42.036758,-74.127342,GBIF 2020
USA,Illinois,,42.039036,-87.792879,GBIF 2020
USA,Michigan,M 12 at M 50,42.05,-84.2,GBIF 2020
USA,Illinois,,42.06438,-88.268919,GBIF 2020
USA,Illinois,,42.06603,-87.77434,GBIF 2020
USA,New York,,42.086728,-73.975813,GBIF 2020
USA,New York,,42.14144,-75.897128,GBIF 2020
USA,New York,,42.242713,-77.198708,GBIF 2020
USA,Michigan,"T2s-R8E Sec. 25 Canton Township, I-275 and Michigan Avenue",42.27,-83.4,GBIF 2020
USA,New York,,42.292155,-73.5745,GBIF 2020
USA,Michigan,,42.322244,-84.089596,GBIF 2020
USA,Michigan,Livonia,42.36833,-83.35278,GBIF 2020
USA,Illinois,,42.391896,-88.128033,GBIF 2020
USA,Illinois,,42.401895,-87.830093,GBIF 2020
USA,New York,,42.43945,-76.490172,GBIF 2020
USA,New York,,42.443508,-76.758202,GBIF 2020
USA,New York,,42.478274,-76.450547,GBIF 2020
USA,New York,,42.478274,-76.450547,GBIF 2020
USA,New York,,42.478274,-76.450547,GBIF 2020
USA,New York,,42.480326,-76.450072,GBIF 2020
USA,New York,,42.480474,-76.449703,GBIF 2020
USA,New York,,42.483089,-74.009409,GBIF 2020
USA,Michigan,Brighton,42.533651,-83.786057,GBIF 2020
USA,New York,,42.557709,-79.13633,GBIF 2020
USA,New York,,42.583076,-79.522341,GBIF 2020
USA,Michigan,Clinton,42.585,-82.916,GBIF 2020
USA,New York,,42.597711,-73.710026,GBIF 2020
USA,Michigan,"Auburn Hills, 42В°39.547'N 83В°14.379'W, Oakland Co., MI",42.6592,-83.2397,GBIF 2020
USA,New York,,42.663646,-73.80857,GBIF 2020
USA,Michigan,Rochester Hills,42.66695,-83.150962,GBIF 2020
USA,Wisconsin,,42.683431,-87.797875,GBIF 2020
USA,Wisconsin,,42.683444,-87.797936,GBIF 2020
USA,Wisconsin,,42.683514,-87.797975,GBIF 2020
USA,Wisconsin,,42.683706,-87.798286,GBIF 2020
USA,Wisconsin,,42.683792,-87.798256,GBIF 2020
USA,Wisconsin,,42.719764,-88.041852,GBIF 2020
USA,Michigan,Okemos,42.72,-84.4,GBIF 2020
USA,Wisconsin,,42.73472,-90.488939,GBIF 2020
USA,Wisconsin,,42.73475,-90.488841,GBIF 2020
USA,Wisconsin,,42.756736,-87.782417,GBIF 2020
USA,Wisconsin,,42.765473,-90.524089,GBIF 2020
USA,New York,,42.890442,-78.717108,GBIF 2020
USA,Michigan,,42.953735,-84.146733,GBIF 2020
USA,Wisconsin,,42.960555,-88.099555,GBIF 2020
USA,New York,,42.9688,-78.945432,GBIF 2020
USA,New York,,42.992895,-73.868323,GBIF 2020
